time,target_roll_deg,roll_deg,roll_rate_deg_s,torque_nm
0,10,0.004,0.4,0.0139626
0.01,10,0.0119684,0.79684,0.0138523
0.02,10,0.0238722,1.19038,0.0137373
0.03,10,0.0396773,1.5805,0.0136177
0.04,10,0.0593479,1.96706,0.0134935
0.05,10,0.0828472,2.34993,0.0133648
0.06,10,0.110137,2.729,0.0132317
0.07,10,0.141178,3.10412,0.0130944
0.08,10,0.17593,3.4752,0.0129529
0.09,10,0.214351,3.84209,0.0128072
0.1,10,0.256398,4.2047,0.0126575
0.11,10,0.302027,4.56291,0.0125038
0.12,10,0.351194,4.91661,0.0123464
0.13,10,0.40385,5.26569,0.0121851
0.14,10,0.459951,5.61004,0.0120202
0.15,10,0.519447,5.94957,0.0118517
0.16,10,0.582288,6.28417,0.0116798
0.17,10,0.648426,6.61375,0.0115044
0.18,10,0.717808,6.93821,0.0113258
0.19,10,0.790382,7.25746,0.011144
0.2,10,0.866096,7.57141,0.0109591
0.21,10,0.944896,7.87998,0.0107711
0.22,10,1.02673,8.18308,0.0105803
0.23,10,1.11153,8.48064,0.0103867
0.24,10,1.19926,8.77258,0.0101904
0.25,10,1.28985,9.05881,0.0099915
0.26,10,1.38324,9.33928,0.00979008
0.27,10,1.47938,9.6139,0.00958625
0.28,10,1.57821,9.88262,0.00938012
0.29,10,1.67966,10.1454,0.00917178
0.3,10,1.78368,10.4021,0.00896133
0.31,10,1.89021,10.6527,0.00874888
0.32,10,1.99918,10.8972,0.00853453
0.33,10,2.11054,11.1355,0.00831836
0.34,10,2.22421,11.3676,0.00810049
0.35,10,2.34014,11.5934,0.00788102
0.36,10,2.45827,11.8128,0.00766004
0.37,10,2.57853,12.0259,0.00743765
0.38,10,2.70086,12.2326,0.00721395
0.39,10,2.82519,12.4328,0.00698905
0.4,10,2.95145,12.6265,0.00676304
0.41,10,3.07959,12.8138,0.00653602
0.42,10,3.20953,12.9945,0.00630808
0.43,10,3.34122,13.1686,0.00607933
0.44,10,3.47458,13.3362,0.00584987
0.45,10,3.60955,13.4972,0.00561979
0.46,10,3.74607,13.6516,0.00538918
0.47,10,3.88406,13.7994,0.00515815
0.48,10,4.02347,13.9405,0.00492679
0.49,10,4.16422,14.075,0.00469519
0.5,10,4.30625,14.2029,0.00446345
0.51,10,4.44949,14.3241,0.00423167
0.52,10,4.59388,14.4387,0.00399993
0.53,10,4.73934,14.5467,0.00376833
0.54,10,4.88582,14.648,0.00353695
0.55,10,5.03325,14.7427,0.0033059
0.56,10,5.18156,14.8308,0.00307526
0.57,10,5.33068,14.9123,0.00284512
0.58,10,5.48055,14.9872,0.00261557
0.59,10,5.63111,15.0556,0.00238669
0.6,10,5.78228,15.1175,0.00215857
0.61,10,5.93401,15.1728,0.0019313
0.62,10,6.08623,15.2216,0.00170497
0.63,10,6.23887,15.264,0.00147964
0.64,10,6.39187,15.3,0.00125542
0.65,10,6.54516,15.3296,0.00103238
0.66,10,6.69869,15.3528,0.000810594
0.67,10,6.85239,15.3697,0.00059015
0.68,10,7.00619,15.3803,0.000371122
0.69,10,7.16004,15.3847,0.000153589
0.7,10,7.31387,15.3829,-6.23738e-05
0.71,10,7.46762,15.375,-0.000276692
0.72,10,7.62123,15.361,-0.000489292
0.73,10,7.77464,15.3409,-0.000700103
0.74,10,7.92779,15.3149,-0.000909052
0.75,10,8.08061,15.2829,-0.00111607
0.76,10,8.23307,15.2451,-0.00132109
0.77,10,8.38508,15.2014,-0.00152404
0.78,10,8.5366,15.152,-0.00172486
0.79,10,8.68757,15.0969,-0.00192349
0.8,10,8.83793,15.0362,-0.00211985
0.81,10,8.98763,14.9699,-0.0023139
0.82,10,9.13661,14.8981,-0.00250556
0.83,10,9.28482,14.8209,-0.00269479
0.84,10,9.4322,14.7383,-0.00288152
0.85,10,9.57871,14.6505,-0.00306569
0.86,10,9.72428,14.5575,-0.00324726
0.87,10,9.86887,14.4593,-0.00342617
0.88,10,10.0124,14.3561,-0.00360236
0.89,10,10.1549,14.248,-0.00377579
0.9,10,10.2963,14.1349,-0.00394641
0.91,10,10.4364,14.017,-0.00411417
0.92,10,10.5754,13.8945,-0.00427903
0.93,10,10.7131,13.7672,-0.00444094
0.94,10,10.8494,13.6355,-0.00459986
0.95,10,10.9844,13.4992,-0.00475575
0.96,10,11.118,13.3586,-0.00490857
0.97,10,11.2501,13.2137,-0.00505827
0.98,10,11.3808,13.0646,-0.00520484
0.99,10,11.5099,12.9114,-0.00534822
1,10,11.6374,12.7541,-0.00548838
1.01,10,11.7634,12.593,-0.0056253
1.02,10,11.8876,12.428,-0.00575894
1.03,10,12.0102,12.2593,-0.00588928
1.04,10,12.1311,12.0869,-0.00601628
1.05,10,12.2502,11.911,-0.00613992
1.06,10,12.3675,11.7317,-0.00626018
1.07,10,12.483,11.549,-0.00637704
1.08,10,12.5966,11.3631,-0.00649046
1.09,10,12.7084,11.174,-0.00660044
1.1,10,12.8182,10.9818,-0.00670696
1.11,10,12.9261,10.7867,-0.00680999
1.12,10,13.032,10.5888,-0.00690953
1.13,10,13.1358,10.3881,-0.00700555
1.14,10,13.2377,10.1848,-0.00709806
1.15,10,13.3375,9.97887,-0.00718703
1.16,10,13.4352,9.77053,-0.00727246
1.17,10,13.5308,9.55985,-0.00735434
1.18,10,13.6242,9.34692,-0.00743266
1.19,10,13.7156,9.13185,-0.00750742
1.2,10,13.8047,8.91473,-0.00757862
1.21,10,13.8917,8.69568,-0.00764625
1.22,10,13.9764,8.4748,-0.00771032
1.23,10,14.0589,8.25218,-0.00777082
1.24,10,14.1392,8.02793,-0.00782777
1.25,10,14.2172,7.80216,-0.00788115
1.26,10,14.293,7.57495,-0.00793098
1.27,10,14.3665,7.34642,-0.00797726
1.28,10,14.4376,7.11666,-0.00802001
1.29,10,14.5065,6.88578,-0.00805923
1.3,10,14.573,6.65388,-0.00809492
1.31,10,14.6372,6.42105,-0.00812712
1.32,10,14.6991,6.18741,-0.00815582
1.33,10,14.7586,5.95304,-0.00818104
1.34,10,14.8158,5.71804,-0.00820281
1.35,10,14.8706,5.48253,-0.00822112
1.36,10,14.9231,5.24658,-0.00823602
1.37,10,14.9732,5.01031,-0.0082475
1.38,10,15.0209,4.7738,-0.0082556
1.39,10,15.0663,4.53716,-0.00826034
1.4,10,15.1093,4.30048,-0.00826174
1.41,10,15.15,4.06385,-0.00825982
1.42,10,15.1882,3.82738,-0.00825462
1.43,10,15.2241,3.59114,-0.00824615
1.44,10,15.2577,3.35524,-0.00823444
1.45,10,15.2889,3.11977,-0.00821953
1.46,10,15.3177,2.88482,-0.00820145
1.47,10,15.3442,2.65047,-0.00818021
1.48,10,15.3684,2.41682,-0.00815587
1.49,10,15.3903,2.18396,-0.00812845
1.5,10,15.4098,1.95197,-0.00809798
1.51,10,15.427,1.72094,-0.0080645
1.52,10,15.4419,1.49095,-0.00802804
1.53,10,15.4545,1.26209,-0.00798865
1.54,10,15.4649,1.03445,-0.00794636
1.55,10,15.4729,0.808095,-0.0079012
1.56,10,15.4788,0.583117,-0.00785323
1.57,10,15.4824,0.359592,-0.00780247
1.58,10,15.4837,0.137601,-0.00774897
1.59,10,15.4829,-0.082781,-0.00769278
1.6,10,15.4799,-0.301477,-0.00763392
1.61,10,15.4747,-0.518412,-0.00757246
1.62,10,15.4674,-0.733512,-0.00750843
1.63,10,15.4579,-0.946706,-0.00744187
1.64,10,15.4463,-1.15792,-0.00737284
1.65,10,15.4327,-1.36709,-0.00730138
1.66,10,15.4169,-1.57415,-0.00722753
1.67,10,15.3991,-1.77902,-0.00715134
1.68,10,15.3793,-1.98164,-0.00707287
1.69,10,15.3575,-2.18195,-0.00699215
1.7,10,15.3337,-2.37988,-0.00690925
1.71,10,15.3079,-2.57538,-0.0068242
1.72,10,15.2803,-2.76839,-0.00673706
1.73,10,15.2507,-2.95883,-0.00664787
1.74,10,15.2192,-3.14667,-0.0065567
1.75,10,15.1859,-3.33184,-0.00646359
1.76,10,15.1507,-3.51428,-0.00636859
1.77,10,15.1138,-3.69396,-0.00627176
1.78,10,15.0751,-3.8708,-0.00617314
1.79,10,15.0346,-4.04478,-0.0060728
1.8,10,14.9925,-4.21583,-0.00597078
1.81,10,14.9487,-4.38391,-0.00586713
1.82,10,14.9032,-4.54897,-0.00576192
1.83,10,14.8561,-4.71098,-0.00565519
1.84,10,14.8074,-4.86989,-0.005547
1.85,10,14.7571,-5.02566,-0.0054374
1.86,10,14.7053,-5.17826,-0.00532644
1.87,10,14.652,-5.32763,-0.00521419
1.88,10,14.5973,-5.47376,-0.0051007
1.89,10,14.5411,-5.61659,-0.00498602
1.9,10,14.4836,-5.75611,-0.0048702
1.91,10,14.4247,-5.89229,-0.0047533
1.92,10,14.3644,-6.02508,-0.00463538
1.93,10,14.3029,-6.15447,-0.00451649
1.94,10,14.2401,-6.28042,-0.00439668
1.95,10,14.176,-6.40292,-0.00427602
1.96,10,14.1108,-6.52194,-0.00415454
1.97,10,14.0444,-6.63746,-0.00403232
1.98,10,13.9769,-6.74946,-0.0039094
1.99,10,13.9084,-6.85791,-0.00378584
2,10,13.8387,-6.96281,-0.00366169
2.01,10,13.7681,-7.06414,-0.00353701
2.02,10,13.6965,-7.16188,-0.00341185
2.03,10,13.6239,-7.25603,-0.00328626
2.04,10,13.5504,-7.34656,-0.0031603
2.05,10,13.4761,-7.43348,-0.00303402
2.06,10,13.4009,-7.51677,-0.00290748
2.07,10,13.325,-7.59644,-0.00278072
2.08,10,13.2482,-7.67246,-0.0026538
2.09,10,13.1708,-7.74485,-0.00252676
2.1,10,13.0927,-7.81359,-0.00239968
2.11,10,13.0139,-7.8787,-0.00227258
2.12,10,12.9345,-7.94016,-0.00214553
2.13,10,12.8545,-7.99799,-0.00201857
2.14,10,12.774,-8.05219,-0.00189176
2.15,10,12.6929,-8.10275,-0.00176514
2.16,10,12.6114,-8.1497,-0.00163877
2.17,10,12.5295,-8.19304,-0.00151268
2.18,10,12.4472,-8.23277,-0.00138694
2.19,10,12.3645,-8.26891,-0.00126159
2.2,10,12.2815,-8.30147,-0.00113667
2.21,10,12.1982,-8.33047,-0.00101224
2.22,10,12.1146,-8.35592,-0.000888329
2.23,10,12.0308,-8.37784,-0.000764996
2.24,10,11.9469,-8.39624,-0.000642282
2.25,10,11.8628,-8.41114,-0.000520231
2.26,10,11.7785,-8.42257,-0.000398888
2.27,10,11.6942,-8.43054,-0.000278295
2.28,10,11.6099,-8.43508,-0.000158495
2.29,10,11.5255,-8.43621,-3.95303e-05
2.3,10,11.4412,-8.43396,7.8558e-05
2.31,10,11.3569,-8.42836,0.000195729
2.32,10,11.2727,-8.41942,0.000311943
2.33,10,11.1886,-8.40718,0.000427161
2.34,10,11.1047,-8.39167,0.000541344
2.35,10,11.021,-8.37292,0.000654453
2.36,10,10.9375,-8.35097,0.000766453
2.37,10,10.8542,-8.32583,0.000877306
2.38,10,10.7712,-8.29756,0.000986977
2.39,10,10.6886,-8.26618,0.00109543
2.4,10,10.6063,-8.23172,0.00120263
2.41,10,10.5243,-8.19424,0.00130855
2.42,10,10.4428,-8.15375,0.00141315
2.43,10,10.3617,-8.11031,0.0015164
2.44,10,10.281,-8.06395,0.00161827
2.45,10,10.2009,-8.01471,0.00171872
2.46,10,10.1213,-7.96264,0.00181774
2.47,10,10.0422,-7.90777,0.00191529
2.48,10,9.96369,-7.85015,0.00201133
2.49,10,9.8858,-7.78982,0.00210586
2.5,10,9.80853,-7.72683,0.00219883
2.51,10,9.73192,-7.66122,0.00229023
2.52,10,9.65598,-7.59304,0.00238002
2.53,10,9.58076,-7.52233,0.00246819
2.54,10,9.50627,-7.44914,0.00255471
2.55,10,9.43253,-7.37352,0.00263956
2.56,10,9.35958,-7.29552,0.00272272
2.57,10,9.28743,-7.21519,0.00280416
2.58,10,9.2161,-7.13257,0.00288387
2.59,10,9.14562,-7.04772,0.00296183
2.6,10,9.07602,-6.96069,0.00303802
2.61,10,9.0073,-6.87153,0.00311243
2.62,10,8.9395,-6.78028,0.00318503
2.63,10,8.87263,-6.68701,0.00325581
2.64,10,8.80671,-6.59176,0.00332476
2.65,10,8.74177,-6.49459,0.00339186
2.66,10,8.67781,-6.39555,0.00345711
2.67,10,8.61486,-6.2947,0.00352048
2.68,10,8.55294,-6.19208,0.00358196
2.69,10,8.49206,-6.08776,0.00364156
2.7,10,8.43225,-5.98179,0.00369925
2.71,10,8.3735,-5.87421,0.00375502
2.72,10,8.31585,-5.7651,0.00380888
2.73,10,8.25931,-5.65449,0.00386081
2.74,10,8.20388,-5.54246,0.00391081
2.75,10,8.14959,-5.42904,0.00395886
2.76,10,8.09645,-5.31431,0.00400497
2.77,10,8.04447,-5.19831,0.00404914
2.78,10,7.99366,-5.0811,0.00409135
2.79,10,7.94403,-4.96274,0.00413161
2.8,10,7.8956,-4.84328,0.00416992
2.81,10,7.84837,-4.72278,0.00420627
2.82,10,7.80236,-4.60129,0.00424066
2.83,10,7.75757,-4.47888,0.00427311
2.84,10,7.71401,-4.35559,0.00430359
2.85,10,7.6717,-4.23148,0.00433213
