time_s,mission_phase,armed,flight_mode,latitude_deg,longitude_deg,absolute_altitude_m,relative_altitude_m,roll_deg,pitch_deg,yaw_deg
0.003,init,,,,,,,,,
0.204,init,,,47.3979711,8.5461638,0.20200000703334808,0.018000001087784767,0.08493401110172272,-0.2843758165836334,96.78688049316406
0.405,init,,,47.3979711,8.5461638,0.2070000171661377,0.02200000174343586,0.09077455848455429,-0.28329068422317505,96.78614044189453
0.606,init,,,47.3979711,8.5461638,0.2120000123977661,0.027000000700354576,0.09417805075645447,-0.282949298620224,96.78593444824219
0.806,takeoff,False,HOLD,47.3979711,8.5461638,0.2150000035762787,0.0020000000949949026,0.09270421415567398,-0.2782631516456604,96.78479766845703
1.007,takeoff,False,HOLD,47.3979711,8.5461638,0.21700000762939453,0.004000000189989805,0.08765999227762222,-0.27374833822250366,96.78350830078125
1.208,takeoff,False,HOLD,47.3979711,8.5461637,0.21900001168251038,0.006000000052154064,0.08178529888391495,-0.27387794852256775,96.78456115722656
1.409,takeoff,False,HOLD,47.3979712,8.5461638,0.22100001573562622,0.00800000037997961,0.07409854978322983,-0.2760118842124939,96.7883071899414
1.609,takeoff,False,HOLD,47.397971299999995,8.5461638,0.22500000894069672,0.012000000104308128,0.06997605413198471,-0.28245237469673157,96.79144287109375
1.81,takeoff,True,TAKEOFF,47.397971399999996,8.5461638,0.23100000619888306,0.018000001087784767,0.06961757689714432,-0.2866467237472534,96.79415130615234
2.011,takeoff,True,TAKEOFF,47.397971399999996,8.5461639,0.23600001633167267,0.023000001907348633,0.07310176640748978,-0.2900053858757019,96.79376220703125
2.212,takeoff,True,TAKEOFF,47.397971399999996,8.5461639,0.24000000953674316,0.027000000700354576,0.07638007402420044,-0.29111549258232117,96.79498291015625
2.413,takeoff,True,TAKEOFF,47.397971399999996,8.5461639,0.242000013589859,0.029000001028180122,0.08159437775611877,-0.2926849126815796,96.79508972167969
2.614,takeoff,True,TAKEOFF,47.397971399999996,8.546164,0.2410000115633011,0.0,0.08717599511146545,-0.2985435426235199,96.79351043701172
2.815,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.2410000115633011,0.0,0.0920213833451271,-0.29984593391418457,96.79338836669922
3.016,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.24300001561641693,0.0010000000474974513,0.09654062986373901,-0.29761460423469543,96.7928466796875
3.217,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.242000013589859,0.0,0.09616894274950027,-0.2955014407634735,96.79134368896484
3.418,takeoff,True,TAKEOFF,47.397971299999995,8.546164,0.2410000115633011,0.0,0.09181597083806992,-0.2952527105808258,96.79116821289062
4.078,takeoff,True,TAKEOFF,47.397971299999995,8.5461641,0.23100000619888306,-0.01100000087171793,0.09592887759208679,-0.29303058981895447,96.79643249511719
