time,setpoint,altitude,control,error
0.000,10.000,0.300,3.000,9.700
0.100,10.000,0.600,3.000,9.400
0.200,10.000,0.900,3.000,9.100
0.300,10.000,1.200,3.000,8.800
0.400,10.000,1.500,3.000,8.500
0.500,10.000,1.800,3.000,8.200
0.600,10.000,2.100,3.000,7.900
0.700,10.000,2.400,3.000,7.600
0.800,10.000,2.700,3.000,7.300
0.900,10.000,3.000,3.000,7.000
1.000,10.000,3.300,3.000,6.700
1.100,10.000,3.600,3.000,6.400
1.200,10.000,3.900,3.000,6.100
1.300,10.000,4.200,3.000,5.800
1.400,10.000,4.500,3.000,5.500
1.500,10.000,4.800,3.000,5.200
1.600,10.000,5.100,3.000,4.900
1.700,10.000,5.400,3.000,4.600
1.800,10.000,5.700,3.000,4.300
1.900,10.000,6.000,3.000,4.000
2.000,10.000,6.300,3.000,3.700
2.100,10.000,6.600,3.000,3.400
2.200,10.000,6.900,3.000,3.100
2.300,10.000,7.188,2.880,2.812
2.400,10.000,7.455,2.674,2.545
2.500,10.000,7.705,2.501,2.295
2.600,10.000,7.939,2.335,2.061
2.700,10.000,8.157,2.182,1.843
2.800,10.000,8.361,2.038,1.639
2.900,10.000,8.551,1.904,1.449
3.000,10.000,8.729,1.778,1.271
3.100,10.000,8.895,1.661,1.105
3.200,10.000,9.050,1.552,0.950
3.300,10.000,9.195,1.449,0.805
3.400,10.000,9.331,1.354,0.669
3.500,10.000,9.457,1.265,0.543
3.600,10.000,9.575,1.181,0.425
3.700,10.000,9.686,1.103,0.314
3.800,10.000,9.789,1.031,0.211
3.900,10.000,9.885,0.963,0.115
4.000,10.000,9.975,0.899,0.025
4.100,10.000,10.059,0.840,-0.059
4.200,10.000,10.137,0.784,-0.137
4.300,10.000,10.211,0.731,-0.211
4.400,10.000,10.279,0.681,-0.279
4.500,10.000,10.342,0.634,-0.342
4.600,10.000,10.401,0.589,-0.401
4.700,10.000,10.456,0.547,-0.456
4.800,10.000,10.506,0.507,-0.506
4.900,10.000,10.553,0.470,-0.553
