time,setpoint,altitude,velocity,acceleration,thrust,error
0,10,0.0005,0.05,5,22.215,9.9995
0.01,10,0.0015,0.1,5,22.215,9.9985
0.02,10,0.003,0.15,5,22.215,9.997
0.03,10,0.005,0.2,5,22.215,9.995
0.04,10,0.0075,0.25,5,22.215,9.9925
0.05,10,0.0105,0.3,5,22.215,9.9895
0.06,10,0.014,0.35,5,22.215,9.986
0.07,10,0.018,0.4,5,22.215,9.982
0.08,10,0.0225,0.45,5,22.215,9.9775
0.09,10,0.0275,0.5,5,22.215,9.9725
0.1,10,0.033,0.55,5,22.215,9.967
0.11,10,0.039,0.6,5,22.215,9.961
0.12,10,0.0455,0.65,5,22.215,9.9545
0.13,10,0.0525,0.7,5,22.215,9.9475
0.14,10,0.06,0.75,5,22.215,9.94
0.15,10,0.068,0.8,5,22.215,9.932
0.16,10,0.0765,0.85,5,22.215,9.9235
0.17,10,0.0855,0.9,5,22.215,9.9145
0.18,10,0.095,0.95,5,22.215,9.905
0.19,10,0.105,1,5,22.215,9.895
0.2,10,0.1155,1.05,5,22.215,9.8845
0.21,10,0.1265,1.1,5,22.215,9.8735
0.22,10,0.138,1.15,5,22.215,9.862
0.23,10,0.15,1.2,5,22.215,9.85
0.24,10,0.1625,1.25,5,22.215,9.8375
0.25,10,0.1755,1.3,5,22.215,9.8245
0.26,10,0.189,1.35,5,22.215,9.811
0.27,10,0.203,1.4,5,22.215,9.797
0.28,10,0.2175,1.45,5,22.215,9.7825
0.29,10,0.2325,1.5,5,22.215,9.7675
0.3,10,0.248,1.55,5,22.215,9.752
0.31,10,0.264,1.6,5,22.215,9.736
0.32,10,0.2805,1.65,5,22.215,9.7195
0.33,10,0.2975,1.7,5,22.215,9.7025
0.34,10,0.315,1.75,5,22.215,9.685
0.35,10,0.333,1.8,5,22.215,9.667
0.36,10,0.3515,1.85,5,22.215,9.6485
0.37,10,0.3705,1.9,5,22.215,9.6295
0.38,10,0.39,1.95,5,22.215,9.61
0.39,10,0.41,2,5,22.215,9.59
0.4,10,0.4305,2.05,5,22.215,9.5695
0.41,10,0.4515,2.1,5,22.215,9.5485
0.42,10,0.473,2.15,5,22.215,9.527
0.43,10,0.495,2.2,5,22.215,9.505
0.44,10,0.5175,2.25,5,22.215,9.4825
0.45,10,0.5405,2.3,5,22.215,9.4595
0.46,10,0.564,2.35,5,22.215,9.436
0.47,10,0.588,2.4,5,22.215,9.412
0.48,10,0.6125,2.45,5,22.215,9.3875
0.49,10,0.6375,2.5,5,22.215,9.3625
0.5,10,0.663,2.55,5,22.215,9.337
0.51,10,0.689,2.6,5,22.215,9.311
0.52,10,0.7155,2.65,5,22.215,9.2845
0.53,10,0.7425,2.7,5,22.215,9.2575
0.54,10,0.77,2.75,5,22.215,9.23
0.55,10,0.798,2.8,5,22.215,9.202
0.56,10,0.8265,2.85,5,22.215,9.1735
0.57,10,0.8555,2.9,5,22.215,9.1445
0.58,10,0.885,2.95,5,22.215,9.115
0.59,10,0.915,3,5,22.215,9.085
0.6,10,0.9455,3.05,5,22.215,9.0545
0.61,10,0.9765,3.1,5,22.215,9.0235
0.62,10,1.008,3.15,5,22.215,8.992
0.63,10,1.04,3.2,5,22.215,8.96
0.64,10,1.0725,3.25,5,22.215,8.9275
0.65,10,1.1055,3.3,5,22.215,8.8945
0.66,10,1.139,3.35,5,22.215,8.861
0.67,10,1.173,3.4,5,22.215,8.827
0.68,10,1.2075,3.45,5,22.215,8.7925
0.69,10,1.2425,3.5,5,22.215,8.7575
0.7,10,1.278,3.55,5,22.215,8.722
0.71,10,1.314,3.6,5,22.215,8.686
0.72,10,1.3505,3.65,5,22.215,8.6495
0.73,10,1.3875,3.7,5,22.215,8.6125
0.74,10,1.425,3.75,5,22.215,8.575
0.75,10,1.463,3.8,5,22.215,8.537
0.76,10,1.5015,3.85,5,22.215,8.4985
0.77,10,1.5405,3.9,5,22.215,8.4595
0.78,10,1.58,3.95,5,22.215,8.42
0.79,10,1.62,4,5,22.215,8.38
0.8,10,1.6605,4.05,5,22.215,8.3395
0.81,10,1.7015,4.1,5,22.215,8.2985
0.82,10,1.743,4.15,5,22.215,8.257
0.83,10,1.785,4.2,5,22.215,8.215
0.84,10,1.8275,4.25,5,22.215,8.1725
0.85,10,1.8705,4.3,5,22.215,8.1295
0.86,10,1.914,4.35,5,22.215,8.086
0.87,10,1.958,4.4,5,22.215,8.042
0.88,10,2.0025,4.45,5,22.215,7.9975
0.89,10,2.0475,4.5,5,22.215,7.9525
0.9,10,2.093,4.55,5,22.215,7.907
0.91,10,2.139,4.6,5,22.215,7.861
0.92,10,2.1855,4.65,5,22.215,7.8145
0.93,10,2.2325,4.7,5,22.215,7.7675
0.94,10,2.28,4.75,5,22.215,7.72
0.95,10,2.328,4.8,5,22.215,7.672
0.96,10,2.3765,4.85,5,22.215,7.6235
0.97,10,2.4255,4.9,5,22.215,7.5745
0.98,10,2.475,4.95,5,22.215,7.525
0.99,10,2.525,5,5,22.215,7.475
1,10,2.5755,5.05,5,22.215,7.4245
1.01,10,2.6265,5.1,5,22.215,7.3735
1.02,10,2.678,5.15,5,22.215,7.322
1.03,10,2.73,5.2,5,22.215,7.27
1.04,10,2.7825,5.25,5,22.215,7.2175
1.05,10,2.8355,5.3,5,22.215,7.1645
1.06,10,2.889,5.35,5,22.215,7.111
1.07,10,2.943,5.4,5,22.215,7.057
1.08,10,2.9975,5.45,5,22.215,7.0025
1.09,10,3.0525,5.5,5,22.215,6.9475
1.1,10,3.108,5.55,5,22.215,6.892
1.11,10,3.164,5.6,5,22.215,6.836
1.12,10,3.2205,5.65,5,22.215,6.7795
1.13,10,3.2775,5.7,5,22.215,6.7225
1.14,10,3.335,5.75,5,22.215,6.665
1.15,10,3.393,5.8,5,22.215,6.607
1.16,10,3.4515,5.85,5,22.215,6.5485
1.17,10,3.5105,5.9,5,22.215,6.4895
1.18,10,3.57,5.95,5,22.215,6.43
1.19,10,3.63,6,5,22.215,6.37
1.2,10,3.6905,6.05,5,22.215,6.3095
1.21,10,3.7515,6.1,5,22.215,6.2485
1.22,10,3.813,6.15,5,22.215,6.187
1.23,10,3.875,6.2,5,22.215,6.125
1.24,10,3.9375,6.25,5,22.215,6.0625
1.25,10,4.0005,6.3,5,22.215,5.9995
1.26,10,4.064,6.35,5,22.215,5.936
1.27,10,4.128,6.4,5,22.215,5.872
1.28,10,4.1925,6.45,5,22.215,5.8075
1.29,10,4.2575,6.5,5,22.215,5.7425
1.3,10,4.323,6.55,5,22.215,5.677
1.31,10,4.389,6.6,5,22.215,5.611
1.32,10,4.4555,6.65,5,22.215,5.5445
1.33,10,4.5225,6.7,5,22.215,5.4775
1.34,10,4.59,6.75,5,22.215,5.41
1.35,10,4.658,6.8,5,22.215,5.342
1.36,10,4.7265,6.85,5,22.215,5.2735
1.37,10,4.7955,6.9,5,22.215,5.2045
1.38,10,4.865,6.95,5,22.215,5.135
1.39,10,4.935,7,5,22.215,5.065
1.4,10,5.00549,7.0493,4.93,22.11,4.99451
1.41,10,5.07646,7.0966,4.72985,21.8098,4.92354
1.42,10,5.14788,7.14191,4.53116,21.5117,4.85212
1.43,10,5.21973,7.18525,4.33395,21.2159,4.78027
1.44,10,5.292,7.22663,4.13824,20.9224,4.708
1.45,10,5.36466,7.26607,3.94405,20.6311,4.63534
1.46,10,5.43769,7.30359,3.7514,20.3421,4.56231
1.47,10,5.51109,7.33919,3.56031,20.0555,4.48891
1.48,10,5.58481,7.3729,3.3708,19.7712,4.41519
1.49,10,5.65886,7.40473,3.18289,19.4893,4.34114
1.5,10,5.73321,7.43469,2.9966,19.2099,4.26679
1.51,10,5.80784,7.46281,2.81195,18.9329,4.19216
1.52,10,5.88273,7.4891,2.62895,18.6584,4.11727
1.53,10,5.95786,7.51358,2.44762,18.3864,4.04214
1.54,10,6.03323,7.53626,2.26798,18.117,3.96677
1.55,10,6.1088,7.55716,2.09004,17.8501,3.8912
1.56,10,6.18456,7.5763,1.91382,17.5857,3.81544
1.57,10,6.2605,7.59369,1.73932,17.324,3.7395
1.58,10,6.33659,7.60936,1.56658,17.0649,3.66341
1.59,10,6.41282,7.62331,1.39559,16.8084,3.58718
1.6,10,6.48918,7.63557,1.22638,16.5546,3.51082
1.61,10,6.56564,7.64616,1.05895,16.3034,3.43436
1.62,10,6.64219,7.6551,0.89332,16.055,3.35781
1.63,10,6.71882,7.66239,0.729498,15.8092,3.28118
1.64,10,6.7955,7.66807,0.567496,15.5662,3.2045
1.65,10,6.87222,7.67214,0.407325,15.326,3.12778
1.66,10,6.94896,7.67463,0.248994,15.0885,3.05104
1.67,10,7.02572,7.67556,0.0925134,14.8538,2.97428
1.68,10,7.10247,7.67493,-0.0621079,14.6218,2.89753
1.69,10,7.1792,7.67279,-0.214861,14.3927,2.8208
1.7,10,7.25589,7.66913,-0.365739,14.1664,2.74411
1.71,10,7.33253,7.66398,-0.514732,13.9429,2.66747
1.72,10,7.4091,7.65736,-0.661835,13.7222,2.5909
1.73,10,7.4856,7.64929,-0.80704,13.5044,2.5144
1.74,10,7.56199,7.63979,-0.950342,13.2895,2.43801
1.75,10,7.63828,7.62887,-1.09173,13.0774,2.36172
1.76,10,7.71445,7.61656,-1.23121,12.8682,2.28555
1.77,10,7.79048,7.60287,-1.36877,12.6618,2.20952
1.78,10,7.86635,7.58783,-1.5044,12.4584,2.13365
1.79,10,7.94207,7.57145,-1.6381,12.2578,2.05793
1.8,10,8.01761,7.55375,-1.76987,12.0602,1.98239
1.81,10,8.09295,7.53475,-1.89971,11.8654,1.90705
1.82,10,8.1681,7.51448,-2.02761,11.6736,1.8319
1.83,10,8.24303,7.49294,-2.15357,11.4846,1.75697
1.84,10,8.31773,7.47016,-2.27758,11.2986,1.68227
1.85,10,8.39219,7.44617,-2.39966,11.1155,1.60781
1.86,10,8.4664,7.42097,-2.51978,10.9353,1.5336
1.87,10,8.54035,7.39459,-2.63797,10.7581,1.45965
1.88,10,8.61402,7.36705,-2.7542,10.5837,1.38598
1.89,10,8.6874,7.33836,-2.86849,10.4123,1.3126
1.9,10,8.76049,7.30855,-2.98084,10.2437,1.23951
1.91,10,8.83326,7.27764,-3.09124,10.0781,1.16674
1.92,10,8.90572,7.24565,-3.1997,9.91546,1.09428
1.93,10,8.97785,7.21258,-3.30621,9.75568,1.02215
1.94,10,9.04963,7.17847,-3.41079,9.59881,0.95037
1.95,10,9.12106,7.14334,-3.51343,9.44485,0.878936
1.96,10,9.19214,7.1072,-3.61414,9.2938,0.807864
1.97,10,9.26284,7.07007,-3.71291,9.14563,0.737164
1.98,10,9.33316,7.03197,-3.80976,9.00036,0.666844
1.99,10,9.40309,6.99293,-3.90468,8.85798,0.596915
2,10,9.47261,6.95295,-3.99768,8.71848,0.527385
2.01,10,9.54174,6.91206,-4.08877,8.58185,0.458265
2.02,10,9.61044,6.87028,-4.17794,8.44808,0.389562
2.03,10,9.67871,6.82763,-4.26521,8.31718,0.321286
2.04,10,9.74656,6.78412,-4.35058,8.18912,0.253444
2.05,10,9.81395,6.73978,-4.43406,8.06391,0.186047
2.06,10,9.8809,6.69463,-4.51565,7.94153,0.1191
2.07,10,9.94739,6.64867,-4.59535,7.82197,0.0526135
2.08,10,10.0134,6.60194,-4.67318,7.70523,-0.0134059
2.09,10,10.079,6.55445,-4.7492,7.59121,-0.0789504
2.1,10,10.144,6.50621,-4.82361,7.47959,-0.144013
2.11,10,10.2086,6.45725,-4.89643,7.37036,-0.208585
2.12,10,10.2727,6.40757,-4.96765,7.26353,-0.272661
2.13,10,10.3362,6.35757,-5,7.215,-0.336236
2.14,10,10.3993,6.30757,-5,7.215,-0.399312
2.15,10,10.4619,6.25757,-5,7.215,-0.461888
2.16,10,10.524,6.20757,-5,7.215,-0.523964
2.17,10,10.5855,6.15757,-5,7.215,-0.585539
2.18,10,10.6466,6.10757,-5,7.215,-0.646615
2.19,10,10.7072,6.05757,-5,7.215,-0.707191
2.2,10,10.7673,6.00757,-5,7.215,-0.767267
2.21,10,10.8268,5.95757,-5,7.215,-0.826842
2.22,10,10.8859,5.90757,-5,7.215,-0.885918
2.23,10,10.9445,5.85757,-5,7.215,-0.944494
2.24,10,11.0026,5.80757,-5,7.215,-1.00257
2.25,10,11.0601,5.75757,-5,7.215,-1.06015
2.26,10,11.1172,5.70757,-5,7.215,-1.11722
2.27,10,11.1738,5.65757,-5,7.215,-1.1738
2.28,10,11.2299,5.60757,-5,7.215,-1.22987
2.29,10,11.2854,5.55757,-5,7.215,-1.28545
2.3,10,11.3405,5.50757,-5,7.215,-1.34052
2.31,10,11.3951,5.45757,-5,7.215,-1.3951
2.32,10,11.4492,5.40757,-5,7.215,-1.44918
2.33,10,11.5028,5.35757,-5,7.215,-1.50275
2.34,10,11.5558,5.30757,-5,7.215,-1.55583
2.35,10,11.6084,5.25757,-5,7.215,-1.6084
2.36,10,11.6605,5.20757,-5,7.215,-1.66048
2.37,10,11.7121,5.15757,-5,7.215,-1.71205
2.38,10,11.7631,5.10757,-5,7.215,-1.76313
2.39,10,11.8137,5.05757,-5,7.215,-1.81371
2.4,10,11.8638,5.00757,-5,7.215,-1.86378
2.41,10,11.9134,4.95757,-5,7.215,-1.91336
2.42,10,11.9624,4.90757,-5,7.215,-1.96243
2.43,10,12.011,4.85757,-5,7.215,-2.01101
2.44,10,12.0591,4.80757,-5,7.215,-2.05908
2.45,10,12.1067,4.75757,-5,7.215,-2.10666
2.46,10,12.1537,4.70757,-5,7.215,-2.15374
2.47,10,12.2003,4.65757,-5,7.215,-2.20031
2.48,10,12.2464,4.60757,-5,7.215,-2.24639
2.49,10,12.292,4.55757,-5,7.215,-2.29196
2.5,10,12.337,4.50757,-5,7.215,-2.33704
2.51,10,12.3816,4.45757,-5,7.215,-2.38161
2.52,10,12.4257,4.40757,-5,7.215,-2.42569
2.53,10,12.4693,4.35757,-5,7.215,-2.46927
2.54,10,12.5123,4.30757,-5,7.215,-2.51234
2.55,10,12.5549,4.25757,-5,7.215,-2.55492
2.56,10,12.597,4.20757,-5,7.215,-2.59699
2.57,10,12.6386,4.15757,-5,7.215,-2.63857
2.58,10,12.6796,4.10757,-5,7.215,-2.67964
2.59,10,12.7202,4.05757,-5,7.215,-2.72022
2.6,10,12.7603,4.00757,-5,7.215,-2.7603
2.61,10,12.7999,3.95757,-5,7.215,-2.79987
2.62,10,12.8389,3.90757,-5,7.215,-2.83895
2.63,10,12.8775,3.85757,-5,7.215,-2.87752
2.64,10,12.9156,3.80757,-5,7.215,-2.9156
2.65,10,12.9532,3.75757,-5,7.215,-2.95317
2.66,10,12.9903,3.70757,-5,7.215,-2.99025
2.67,10,13.0268,3.65757,-5,7.215,-3.02683
2.68,10,13.0629,3.60757,-5,7.215,-3.0629
2.69,10,13.0985,3.55757,-5,7.215,-3.09848
2.7,10,13.1336,3.50757,-5,7.215,-3.13355
2.71,10,13.1681,3.45757,-5,7.215,-3.16813
2.72,10,13.2022,3.40757,-5,7.215,-3.2022
2.73,10,13.2358,3.35757,-5,7.215,-3.23578
2.74,10,13.2689,3.30757,-5,7.215,-3.26886
2.75,10,13.3014,3.25757,-5,7.215,-3.30143
2.76,10,13.3335,3.20757,-5,7.215,-3.33351
2.77,10,13.3651,3.15757,-5,7.215,-3.36508
2.78,10,13.3962,3.10757,-5,7.215,-3.39616
2.79,10,13.4267,3.05757,-5,7.215,-3.42673
2.8,10,13.4568,3.00757,-5,7.215,-3.45681
2.81,10,13.4864,2.95757,-5,7.215,-3.48639
2.82,10,13.5155,2.90757,-5,7.215,-3.51546
2.83,10,13.544,2.85757,-5,7.215,-3.54404
2.84,10,13.5721,2.80757,-5,7.215,-3.57211
2.85,10,13.5997,2.75757,-5,7.215,-3.59969
2.86,10,13.6268,2.70757,-5,7.215,-3.62676
2.87,10,13.6533,2.65757,-5,7.215,-3.65334
2.88,10,13.6794,2.60757,-5,7.215,-3.67942
2.89,10,13.705,2.55757,-5,7.215,-3.70499
2.9,10,13.7301,2.50757,-5,7.215,-3.73007
2.91,10,13.7546,2.45757,-5,7.215,-3.75464
2.92,10,13.7787,2.40757,-5,7.215,-3.77872
2.93,10,13.8023,2.35757,-5,7.215,-3.80229
2.94,10,13.8254,2.30757,-5,7.215,-3.82537
2.95,10,13.8479,2.25757,-5,7.215,-3.84795
2.96,10,13.87,2.20757,-5,7.215,-3.87002
2.97,10,13.8916,2.15757,-5,7.215,-3.8916
2.98,10,13.9127,2.10757,-5,7.215,-3.91267
2.99,10,13.9332,2.05757,-5,7.215,-3.93325
3,10,13.9533,2.00757,-5,7.215,-3.95332
3.01,10,13.9729,1.95757,-5,7.215,-3.9729
3.02,10,13.992,1.90757,-5,7.215,-3.99198
3.03,10,14.0106,1.85757,-5,7.215,-4.01055
3.04,10,14.0286,1.80757,-5,7.215,-4.02863
3.05,10,14.0462,1.75757,-5,7.215,-4.0462
3.06,10,14.0633,1.70757,-5,7.215,-4.06328
3.07,10,14.0799,1.65757,-5,7.215,-4.07985
3.08,10,14.0959,1.60757,-5,7.215,-4.09593
3.09,10,14.1115,1.55757,-5,7.215,-4.11151
3.1,10,14.1266,1.50757,-5,7.215,-4.12658
3.11,10,14.1412,1.45757,-5,7.215,-4.14116
3.12,10,14.1552,1.40757,-5,7.215,-4.15523
3.13,10,14.1688,1.35757,-5,7.215,-4.16881
3.14,10,14.1819,1.30757,-5,7.215,-4.18188
