time_sec,true_angle_deg,accel_angle_deg,gyro_angle_deg,complementary_angle_deg,measured_gyro_rate_deg_s
0.000,0.000000,-1.129877,0.000000,-1.129877,22.842979
0.010,0.219992,-1.444702,0.217648,-0.922879,21.764834
0.020,0.439936,1.524961,0.449549,-0.646659,23.190032
0.030,0.659785,1.289422,0.682851,-0.379302,23.330208
0.040,0.879492,-2.632487,0.892853,-0.218563,21.000253
0.050,1.099007,3.905703,1.107832,0.074602,21.497908
0.060,1.318285,1.082798,1.333990,0.316400,22.615748
0.070,1.537277,-1.240051,1.556285,0.503121,22.229567
0.080,1.755936,4.727896,1.780620,0.807464,22.433478
0.090,1.974215,3.538404,1.997862,1.074980,21.724128
0.100,2.192067,-0.969288,2.228512,1.260131,23.065024
0.110,2.409445,6.852402,2.457852,1.596730,22.933996
0.120,2.626302,4.273296,2.680954,1.868901,22.310176
0.130,2.842592,2.817102,2.911954,2.114246,23.100084
0.140,3.058268,7.033815,3.137040,2.433222,22.508609
0.150,3.273284,3.671529,3.350829,2.667501,21.378871
0.160,3.487594,3.417387,3.573713,2.900925,22.288425
0.170,3.701153,2.050402,3.785202,3.091174,21.148880
0.180,3.913914,5.368540,4.010570,3.357581,22.536777
0.190,4.125833,5.317340,4.227646,3.609511,21.707603
0.200,4.336865,4.373565,4.442733,3.835577,21.508707
0.210,4.546965,2.571999,4.652898,4.016267,21.016465
0.220,4.756089,5.080914,4.877292,4.257467,22.439444
0.230,4.964193,4.789696,5.089628,4.476201,21.233615
0.240,5.171234,1.837548,5.298689,4.628307,20.906065
0.250,5.377168,1.697637,5.507231,4.774065,20.854207
0.260,5.581952,6.994835,5.721678,5.028638,21.444686
0.270,5.785544,-0.719176,5.933577,5.121343,21.189896
0.280,5.987903,6.501429,6.144599,5.355747,21.102248
0.290,6.188986,4.993778,6.354470,5.554181,20.987103
0.300,6.388752,9.659368,6.576691,5.854061,22.222055
0.310,6.587160,5.353490,6.777149,6.040499,20.045849
0.320,6.784171,8.432882,6.975344,6.282577,19.819432
0.330,6.979745,5.987460,7.169669,6.467113,19.432501
0.340,7.173842,7.458212,7.373936,6.687117,20.426695
0.350,7.366423,9.208514,7.580772,6.940244,20.683632
0.360,7.557451,6.401062,7.776092,7.120875,19.532042
0.370,7.746887,10.238274,7.963993,7.367365,18.790077
0.380,7.934695,5.450450,8.150372,7.511679,18.637931
0.390,8.120837,8.857320,8.346869,7.731158,19.649672
0.400,8.305279,10.611878,8.542388,7.980381,19.551909
0.410,8.487984,10.138077,8.734553,8.211856,19.216422
0.420,8.668917,13.460029,8.915259,8.493912,18.070628
0.430,8.848044,6.939446,9.101324,8.645166,18.606506
0.440,9.025332,5.577459,9.284609,8.763432,18.328536
0.450,9.200748,6.714910,9.466822,8.901030,18.221278
0.460,9.374259,11.025365,9.652336,9.125320,18.551406
0.470,9.545833,10.790641,9.830715,9.333439,17.837935
0.480,9.715440,9.971082,10.010755,9.522630,18.003912
0.490,9.883049,7.075656,10.183890,9.643363,17.313561
0.500,10.048630,11.965798,10.356756,9.859220,17.286572
0.510,10.212154,7.150393,10.530288,9.975105,17.353218
0.520,10.373594,13.270968,10.685014,10.192654,15.472575
0.530,10.532920,17.676517,10.846713,10.500797,16.169948
0.540,10.690108,11.606235,11.005054,10.678080,15.834117
0.550,10.845129,12.302899,11.159869,10.862294,15.481461
0.560,10.997959,9.765809,11.315390,10.992775,15.552088
0.570,11.148573,6.623040,11.482844,11.069485,16.745358
0.580,11.296947,9.790148,11.629159,11.187288,14.631584
0.590,11.443058,8.710820,11.787874,11.293298,15.871432
0.600,11.586883,7.969372,11.923082,11.359324,13.520866
0.610,11.728401,16.034301,12.066757,11.593625,14.367475
0.620,11.867591,12.549747,12.212075,11.755159,14.531755
0.630,12.004432,12.953651,12.358422,11.922549,14.634725
0.640,12.138906,11.366350,12.503392,12.053496,14.497028
0.650,12.270993,11.838815,12.646624,12.189570,14.323207
0.660,12.400676,14.812053,12.778307,12.371069,13.168295
0.670,12.527939,12.447096,12.906652,12.498367,12.834484
0.680,12.652764,13.979498,13.043115,12.661723,13.646262
0.690,12.775136,12.285125,13.168723,12.777288,12.560859
0.700,12.895042,12.039659,13.283183,12.874705,11.445962
0.710,13.012466,9.495181,13.396294,12.917964,11.311160
0.720,13.127397,8.183025,13.508617,12.933342,11.232258
0.730,13.239823,12.585918,13.629761,13.045114,12.114412
0.740,13.349731,13.490973,13.745545,13.167500,11.578406
0.750,13.457112,10.241787,13.863182,13.224269,11.763635
0.760,13.561956,13.475769,13.969335,13.333329,10.615309
0.770,13.664254,13.798636,14.077624,13.448759,10.828974
0.780,13.763999,8.373979,14.187093,13.454543,10.946896
0.790,13.861183,11.573371,14.286519,13.514357,9.942561
0.800,13.955800,14.973959,14.389504,13.644474,10.298491
0.810,14.047844,15.015491,14.480965,13.761526,9.146063
0.820,14.137312,11.253124,14.572237,13.800805,9.127278
0.830,14.224199,14.620319,14.660778,13.903966,8.854116
0.840,14.308502,16.864520,14.740222,14.041032,7.944371
0.850,14.390219,16.332902,14.830542,14.175383,9.031992
0.860,14.469350,14.231136,14.910624,14.254978,8.008182
0.870,14.545893,13.375953,14.991974,14.317120,8.134990
0.880,14.619850,13.046489,15.074483,14.372567,8.250967
0.890,14.691221,15.860770,15.154135,14.480390,7.965137
0.900,14.760008,15.247768,15.232955,14.572981,7.882011
0.910,14.826215,16.399725,15.303085,14.678244,7.013037
0.920,14.889845,15.219529,15.368043,14.752727,6.495723
