time_sec,task_name,message,imu_count,attitude_count,control_count,telemetry_count,safety_count,heartbeat_count,safety_ok
0.0011,telemetry_task,send telemetry,1,1,1,1,0,0,True
0.0011,heartbeat_task,toggle led,1,1,1,1,1,1,True
0.1013,telemetry_task,send telemetry,21,21,11,2,2,1,True
0.2019,telemetry_task,send telemetry,41,41,21,3,4,1,True
0.3014,telemetry_task,send telemetry,61,61,31,4,6,1,True
0.4028,telemetry_task,send telemetry,81,81,41,5,8,1,True
0.4917,control_task,update motor output,99,99,50,5,10,1,True
0.4960,imu_task,read imu data,100,99,50,5,10,1,True
0.4960,attitude_task,estimate attitude,100,100,50,5,10,1,True
0.5015,telemetry_task,send telemetry,101,101,51,6,10,1,True
0.6016,telemetry_task,send telemetry,121,121,61,7,12,1,True
0.7016,telemetry_task,send telemetry,141,141,71,8,14,1,True
0.8018,telemetry_task,send telemetry,161,161,81,9,16,1,True
0.9014,telemetry_task,send telemetry,181,181,91,10,18,1,True
0.9917,control_task,update motor output,199,199,100,10,20,1,True
0.9960,imu_task,read imu data,200,199,100,10,20,1,True
0.9961,attitude_task,estimate attitude,200,200,100,10,20,1,True
1.0014,telemetry_task,send telemetry,201,201,101,11,20,1,True
1.0015,heartbeat_task,toggle led,201,201,101,11,21,2,True
1.1020,telemetry_task,send telemetry,221,221,111,12,22,2,True
1.2021,telemetry_task,send telemetry,241,241,121,13,24,2,True
1.3011,telemetry_task,send telemetry,261,261,131,14,26,2,True
1.4021,telemetry_task,send telemetry,281,281,141,15,28,2,True
1.4917,control_task,update motor output,299,299,150,15,30,2,True
1.4959,imu_task,read imu data,300,299,150,15,30,2,True
1.4960,attitude_task,estimate attitude,300,300,150,15,30,2,True
1.5015,telemetry_task,send telemetry,301,301,151,16,30,2,True
1.6012,telemetry_task,send telemetry,321,321,161,17,32,2,True
1.7020,telemetry_task,send telemetry,341,341,171,18,34,2,True
1.8016,telemetry_task,send telemetry,361,361,181,19,36,2,True
1.9014,telemetry_task,send telemetry,381,381,191,20,38,2,True
1.9916,control_task,update motor output,399,399,200,20,40,2,True
1.9959,imu_task,read imu data,400,399,200,20,40,2,True
1.9960,attitude_task,estimate attitude,400,400,200,20,40,2,True
2.0013,telemetry_task,send telemetry,401,401,201,21,40,2,True
2.0014,heartbeat_task,toggle led,401,401,201,21,41,3,True
2.1015,telemetry_task,send telemetry,421,421,211,22,42,3,True
2.2016,telemetry_task,send telemetry,441,441,221,23,44,3,True
2.3013,telemetry_task,send telemetry,461,461,231,24,46,3,True
2.4021,telemetry_task,send telemetry,481,481,241,25,48,3,True
2.4917,control_task,update motor output,499,499,250,25,50,3,True
2.4959,imu_task,read imu data,500,499,250,25,50,3,True
2.4971,attitude_task,estimate attitude,500,500,250,25,50,3,True
2.5015,telemetry_task,send telemetry,501,501,251,26,50,3,True
2.6014,telemetry_task,send telemetry,521,521,261,27,52,3,True
2.7020,telemetry_task,send telemetry,541,541,271,28,54,3,True
2.8020,telemetry_task,send telemetry,561,561,281,29,56,3,True
2.9015,telemetry_task,send telemetry,581,581,291,30,58,3,True
2.9913,control_task,update motor output,599,599,300,30,60,3,True
2.9957,imu_task,read imu data,600,599,300,30,60,3,True
2.9969,attitude_task,estimate attitude,600,600,300,30,60,3,True
3.0016,telemetry_task,send telemetry,601,601,301,31,60,3,True
3.0018,heartbeat_task,toggle led,601,601,301,31,61,4,True
3.1020,telemetry_task,send telemetry,621,621,311,32,62,4,True
3.2013,telemetry_task,send telemetry,641,641,321,33,64,4,True
3.3018,telemetry_task,send telemetry,661,661,331,34,66,4,True
3.4021,telemetry_task,send telemetry,681,681,341,35,68,4,True
3.4910,control_task,update motor output,699,699,350,35,70,4,True
3.4963,imu_task,read imu data,700,699,350,35,70,4,True
3.4963,attitude_task,estimate attitude,700,700,350,35,70,4,True
3.5019,telemetry_task,send telemetry,701,701,351,36,70,4,True
3.6022,telemetry_task,send telemetry,721,721,361,37,72,4,True
3.7019,telemetry_task,send telemetry,741,741,371,38,74,4,True
3.8019,telemetry_task,send telemetry,761,761,381,39,76,4,True
3.9015,telemetry_task,send telemetry,781,781,391,40,78,4,True
3.9911,control_task,update motor output,799,799,400,40,80,4,True
3.9953,imu_task,read imu data,800,799,400,40,80,4,True
3.9965,attitude_task,estimate attitude,800,800,400,40,80,4,True
4.0020,telemetry_task,send telemetry,801,801,401,41,80,4,True
4.0021,heartbeat_task,toggle led,801,801,401,41,81,5,True
4.1022,telemetry_task,send telemetry,821,821,411,42,82,5,True
4.2020,telemetry_task,send telemetry,841,841,421,43,84,5,True
4.3012,telemetry_task,send telemetry,861,861,431,44,86,5,True
4.4014,telemetry_task,send telemetry,881,881,441,45,88,5,True
4.4914,control_task,update motor output,899,899,450,45,90,5,True
4.4956,imu_task,read imu data,900,899,450,45,90,5,True
