time_sec,relative_altitude_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,flight_mode,mission_phase
0.001,,,,,,,,,WAITING_HEALTH
0.201,-0.003,0.095,-0.282,96.867,0.008,-0.023,-0.038,,WAITING_HEALTH
0.402,-0.004,0.098,-0.282,96.867,0.005,-0.025,-0.037,,WAITING_HEALTH
0.603,-0.005,0.101,-0.283,96.868,0.001,-0.026,-0.036,,WAITING_HEALTH
0.805,-0.006,0.103,-0.284,96.868,-0.002,-0.025,-0.035,,WAITING_HEALTH
1.006,-0.006,0.106,-0.288,96.869,-0.007,-0.023,-0.035,HOLD,TAKEOFF
1.207,0.000,0.108,-0.291,96.869,-0.011,-0.020,-0.034,HOLD,TAKEOFF
1.408,0.000,0.112,-0.296,96.863,-0.015,-0.016,-0.034,HOLD,TAKEOFF
1.609,-0.001,0.112,-0.305,96.857,-0.018,-0.011,-0.034,HOLD,TAKEOFF
1.809,-0.002,0.106,-0.311,96.849,-0.018,-0.006,-0.032,HOLD,TAKEOFF
2.010,-0.003,0.105,-0.313,96.846,-0.018,-0.001,-0.031,TAKEOFF,TAKEOFF
2.211,-0.003,0.106,-0.312,96.849,-0.020,0.000,-0.031,TAKEOFF,TAKEOFF
2.412,-0.003,0.107,-0.310,96.853,-0.022,0.001,-0.031,TAKEOFF,TAKEOFF
2.613,-0.003,0.106,-0.305,96.853,-0.023,0.000,-0.031,TAKEOFF,TAKEOFF
2.813,0.000,0.103,-0.304,96.851,-0.023,0.001,-0.032,TAKEOFF,TAKEOFF
3.014,0.001,0.101,-0.305,96.849,-0.025,0.002,-0.033,TAKEOFF,TAKEOFF
2.433,0.002,0.101,-0.302,96.847,-0.028,0.000,-0.034,TAKEOFF,TAKEOFF
2.633,0.003,0.100,-0.300,96.844,-0.030,-0.002,-0.035,TAKEOFF,TAKEOFF
2.833,0.001,0.096,-0.297,96.844,-0.032,-0.004,-0.033,TAKEOFF,TAKEOFF
3.034,-0.003,0.094,-0.295,96.841,-0.033,-0.006,-0.028,TAKEOFF,TAKEOFF
3.235,-0.007,0.091,-0.294,96.840,-0.035,-0.008,-0.024,TAKEOFF,TAKEOFF
3.435,-0.010,0.089,-0.294,96.837,-0.037,-0.010,-0.021,TAKEOFF,TAKEOFF
3.636,-0.013,0.085,-0.290,96.839,-0.039,-0.012,-0.018,TAKEOFF,TAKEOFF
3.837,-0.016,0.082,-0.291,96.839,-0.040,-0.014,-0.015,TAKEOFF,TAKEOFF
4.038,-0.018,0.074,-0.291,96.837,-0.039,-0.015,-0.013,TAKEOFF,TAKEOFF
4.239,-0.020,0.064,-0.291,96.837,-0.035,-0.016,-0.011,TAKEOFF,TAKEOFF
4.440,-0.022,0.054,-0.250,96.824,-0.030,-0.017,-0.009,TAKEOFF,TAKEOFF
4.641,-0.018,-0.585,0.357,96.721,-0.026,-0.023,-0.013,TAKEOFF,TAKEOFF
