time_sec,relative_altitude_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,flight_mode,mission_phase
0.001,,,,,,,,,WAITING_HEALTH
0.202,0.017,0.069,-0.322,97.022,-0.044,0.005,-0.049,,WAITING_HEALTH
0.403,0.000,0.078,-0.320,97.034,-0.048,0.006,-0.053,HOLD,TAKEOFF
0.604,0.001,0.083,-0.317,97.038,-0.051,0.004,-0.054,HOLD,TAKEOFF
0.805,0.000,0.085,-0.312,97.040,-0.052,0.002,-0.053,HOLD,TAKEOFF
1.006,0.000,0.086,-0.308,97.039,-0.051,-0.001,-0.052,HOLD,TAKEOFF
1.207,-0.003,0.089,-0.301,97.039,-0.052,-0.005,-0.049,HOLD,TAKEOFF
1.407,-0.008,0.094,-0.294,97.041,-0.053,-0.009,-0.044,TAKEOFF,TAKEOFF
1.608,-0.009,0.097,-0.291,97.042,-0.055,-0.014,-0.042,TAKEOFF,TAKEOFF
1.809,-0.006,0.099,-0.289,97.041,-0.055,-0.018,-0.045,TAKEOFF,TAKEOFF
2.010,-0.003,0.098,-0.290,97.037,-0.056,-0.020,-0.048,TAKEOFF,TAKEOFF
2.212,0.000,0.099,-0.289,97.037,-0.057,-0.022,-0.050,TAKEOFF,TAKEOFF
2.413,0.000,0.097,-0.288,97.038,-0.058,-0.024,-0.049,TAKEOFF,TAKEOFF
2.614,-0.001,0.096,-0.287,97.038,-0.058,-0.025,-0.048,TAKEOFF,TAKEOFF
2.815,-0.002,0.095,-0.288,97.032,-0.057,-0.024,-0.047,TAKEOFF,TAKEOFF
3.015,-0.004,0.095,-0.288,97.032,-0.055,-0.024,-0.045,TAKEOFF,TAKEOFF
3.216,-0.008,0.092,-0.286,97.035,-0.052,-0.026,-0.041,TAKEOFF,TAKEOFF
3.417,-0.012,0.087,-0.278,97.040,-0.046,-0.032,-0.037,TAKEOFF,TAKEOFF
3.618,-0.015,0.085,-0.269,97.045,-0.039,-0.039,-0.034,TAKEOFF,TAKEOFF
3.819,-0.018,0.085,-0.268,97.045,-0.033,-0.044,-0.031,TAKEOFF,TAKEOFF
