time_sec,relative_altitude_m,roll_deg,pitch_deg,yaw_deg,north_m,east_m,down_m,flight_mode,mission_phase
0.001,,,,,,,,,WAITING_HEALTH
0.202,0.040,0.070,-0.039,-0.167,2.970,-0.017,-0.068,,WAITING_HEALTH
0.403,0.000,0.070,-0.036,-0.169,2.967,-0.016,-0.067,HOLD,TAKEOFF
0.603,-0.004,0.069,-0.035,-0.169,2.964,-0.015,-0.063,HOLD,TAKEOFF
0.804,-0.007,0.071,-0.036,-0.170,2.964,-0.014,-0.060,HOLD,TAKEOFF
1.005,-0.010,0.068,-0.037,-0.169,2.965,-0.014,-0.057,HOLD,TAKEOFF
1.206,-0.013,0.066,-0.040,-0.168,2.967,-0.016,-0.053,HOLD,TAKEOFF
1.406,-0.017,0.063,-0.040,-0.169,2.968,-0.018,-0.050,TAKEOFF,TAKEOFF
1.607,-0.019,0.062,-0.040,-0.170,2.968,-0.018,-0.048,TAKEOFF,TAKEOFF
1.808,-0.021,0.067,-0.037,-0.170,2.967,-0.016,-0.046,TAKEOFF,TAKEOFF
2.009,-0.019,0.070,-0.037,-0.168,2.967,-0.012,-0.047,TAKEOFF,TAKEOFF
2.210,0.000,0.071,-0.042,-0.165,2.970,-0.009,-0.049,TAKEOFF,TAKEOFF
2.410,0.003,0.072,-0.045,-0.163,2.973,-0.005,-0.052,TAKEOFF,TAKEOFF
2.612,0.005,0.075,-0.043,-0.163,2.972,-0.002,-0.054,TAKEOFF,TAKEOFF
2.813,0.008,0.074,-0.038,-0.161,2.970,0.000,-0.057,TAKEOFF,TAKEOFF
3.014,0.009,0.071,-0.037,-0.159,2.967,0.002,-0.058,TAKEOFF,TAKEOFF
3.215,0.009,0.068,-0.034,-0.159,2.963,0.001,-0.058,TAKEOFF,TAKEOFF
3.416,0.009,0.065,-0.034,-0.158,2.962,-0.001,-0.058,TAKEOFF,TAKEOFF
3.617,0.010,0.064,-0.035,-0.160,2.962,-0.002,-0.059,TAKEOFF,TAKEOFF
3.817,0.010,0.064,-0.038,-0.159,2.964,-0.004,-0.059,TAKEOFF,TAKEOFF
4.018,0.009,0.064,-0.042,-0.156,2.967,-0.006,-0.057,TAKEOFF,TAKEOFF
4.218,0.005,0.065,-0.046,-0.157,2.970,-0.006,-0.054,TAKEOFF,TAKEOFF
4.420,0.001,0.065,-0.047,-0.158,2.971,-0.007,-0.050,TAKEOFF,TAKEOFF
4.621,-0.001,-0.084,-0.001,-0.141,2.970,-0.009,-0.047,TAKEOFF,TAKEOFF
4.823,0.010,-0.527,0.102,-0.107,2.967,-0.014,-0.061,TAKEOFF,TAKEOFF
