time_sec,relative_altitude_m,roll_deg,pitch_deg,yaw_deg,flight_mode
1782396340.428,0.020,0.095,-0.284,96.884,HOLD
1782396340.628,0.018,0.093,-0.279,96.888,HOLD
1782396340.828,0.018,0.089,-0.275,96.892,HOLD
1782396341.029,0.018,0.084,-0.271,96.896,HOLD
1782396341.228,0.018,0.082,-0.270,96.897,HOLD
1782396341.428,0.018,0.079,-0.269,96.900,HOLD
1782396341.628,0.016,0.077,-0.266,96.900,HOLD
1782396341.828,0.014,0.075,-0.264,96.905,HOLD
1782396342.028,0.015,0.070,-0.263,96.910,HOLD
1782396342.228,0.017,0.066,-0.268,96.917,HOLD
1782396342.428,0.019,0.066,-0.271,96.917,HOLD
1782396342.628,0.021,0.070,-0.275,96.914,HOLD
1782396342.828,0.023,0.070,-0.280,96.913,HOLD
1782396343.028,0.024,0.069,-0.281,96.912,HOLD
1782396343.228,0.024,0.065,-0.286,96.920,HOLD
1782396343.428,0.022,0.065,-0.292,96.918,HOLD
1782396343.628,0.017,0.069,-0.295,96.917,HOLD
1782396343.828,0.014,0.069,-0.298,96.916,HOLD
1782396344.028,0.013,0.070,-0.302,96.920,HOLD
1782396344.228,0.012,0.072,-0.305,96.924,HOLD
1782396344.428,0.013,0.071,-0.306,96.925,HOLD
1782396344.628,0.015,0.073,-0.308,96.925,HOLD
1782396344.828,0.019,0.075,-0.304,96.922,HOLD
1782396345.028,0.023,0.076,-0.303,96.923,HOLD
1782396345.228,0.027,0.075,-0.303,96.928,HOLD
1782396345.428,0.030,0.074,-0.305,96.929,HOLD
1782396345.628,0.033,0.069,-0.308,96.932,HOLD
1782396345.828,0.036,0.068,-0.306,96.931,HOLD
1782396346.028,0.039,0.073,-0.307,96.942,HOLD
1782396346.228,0.043,0.078,-0.302,96.949,HOLD
1782396346.428,0.045,0.078,-0.302,96.952,HOLD
1782396346.628,0.046,0.076,-0.307,96.953,HOLD
1782396346.828,0.045,0.074,-0.310,96.957,HOLD
1782396347.028,0.042,0.075,-0.314,96.963,HOLD
1782396347.228,0.039,0.071,-0.311,96.963,HOLD
1782396347.428,0.036,0.065,-0.303,96.955,HOLD
1782396347.628,0.034,0.061,-0.297,96.949,HOLD
1782396347.828,0.034,0.063,-0.294,96.947,HOLD
1782396348.028,0.033,0.064,-0.294,96.948,HOLD
1782396348.228,0.030,0.066,-0.293,96.950,HOLD
1782396348.428,0.025,0.068,-0.293,96.951,HOLD
1782396348.628,0.021,0.073,-0.293,96.955,HOLD
1782396348.828,0.020,0.079,-0.295,96.959,HOLD
1782396349.028,0.019,0.083,-0.300,96.962,HOLD
1782396349.228,0.016,0.085,-0.299,96.962,HOLD
1782396349.428,0.013,0.085,-0.302,96.963,HOLD
1782396349.628,0.011,0.086,-0.306,96.962,HOLD
1782396349.828,0.008,0.086,-0.309,96.962,HOLD
1782396350.028,0.005,0.087,-0.313,96.961,HOLD
1782396350.228,0.003,0.090,-0.313,96.962,HOLD
1782396350.428,0.003,0.087,-0.314,96.960,HOLD
1782396350.628,0.005,0.080,-0.313,96.953,HOLD
1782396350.828,0.006,0.075,-0.313,96.949,HOLD
1782396351.028,0.007,0.072,-0.310,96.947,HOLD
1782396351.228,0.008,0.074,-0.309,96.945,HOLD
1782396351.428,0.011,0.080,-0.310,96.948,HOLD
1782396351.628,0.012,0.081,-0.311,96.950,HOLD
1782396351.828,0.010,0.080,-0.308,96.952,HOLD
1782396352.028,0.005,0.077,-0.304,96.949,HOLD
1782396352.228,0.000,0.081,-0.297,96.949,HOLD
1782396352.428,-0.001,0.086,-0.287,96.948,HOLD
1782396352.628,-0.001,0.083,-0.284,96.946,HOLD
1782396352.828,0.000,0.082,-0.283,96.948,HOLD
1782396353.028,0.000,0.086,-0.283,96.946,HOLD
1782396353.228,0.000,0.091,-0.283,96.941,HOLD
1782396353.428,0.000,0.098,-0.283,96.937,HOLD
1782396353.628,0.000,0.101,-0.280,96.936,HOLD
1782396353.828,0.001,0.098,-0.281,96.940,HOLD
1782396354.028,0.003,0.095,-0.279,96.943,HOLD
1782396354.228,0.005,0.091,-0.276,96.947,HOLD
1782396354.428,0.007,0.087,-0.272,96.950,HOLD
1782396354.628,0.009,0.084,-0.275,96.955,HOLD
1782396354.828,0.010,0.081,-0.278,96.959,HOLD
1782396355.028,0.012,0.077,-0.282,96.962,HOLD
1782396355.228,0.014,0.075,-0.283,96.965,HOLD
1782396355.428,0.016,0.071,-0.286,96.973,HOLD
